2026-04-01 22:47:57,341 | INFO     | ================================================================================
2026-04-01 22:47:57,341 | INFO     | Starting Phase 1: Auto Pre-Label All Emails
2026-04-01 22:47:57,341 | INFO     | ================================================================================
2026-04-01 22:47:57,388 | INFO     | Loaded input file: source_labeled_dataset.csv (1522 emails)
2026-04-01 22:47:57,390 | INFO     | Starting new pre-labeling session
2026-04-01 22:47:57,390 | INFO     | Progress - Total: 1522 | Done: 0 | Remaining: 1522
2026-04-01 22:47:59,454 | ERROR    | Inference failed: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-01 22:48:01,515 | ERROR    | Inference failed: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-01 22:48:03,532 | ERROR    | Inference failed: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-01 22:48:05,553 | ERROR    | Inference failed: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-01 22:48:07,609 | ERROR    | Inference failed: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
